Echter Wert,Vorhergesagt,Abweichung
20498,17995,2503
21323,22995,-1672
9995,9995,0
19500,20995,-1495
10500,7995,2505
7200,7995,-795
11095,10995,100
8000,6995,1005
9698,11498,-1800
7698,6995,703
8465,6995,1470
6380,6995,-615
12995,12495,500
12239,11995,244
9880,9495,385
9998,9995,3
8495,6995,1500
6600,5995,605
12095,12495,-400
9990,7995,1995
8300,6995,1305
5899,7495,-1596
9498,6995,2503
10495,9995,500
9985,10795,-810
8990,6498,2492
17300,20995,-3695
21000,18995,2005
8495,6995,1500
19689,20995,-1306
6299,5995,304
14295,14995,-700
7600,6291,1309
11998,11498,500
11995,13998,-2003
15995,13998,1997
11995,12995,-1000
6500,6498,2
17695,22995,-5300
12695,12495,200
16872,14995,1877
20995,21490,-495
16490,15990,500
16000,14995,1005
9195,9995,-800
10995,9995,1000
12999,11490,1509
20790,18995,1795
9895,6995,2900
7750,6995,755
12798,14995,-2197
17960,15990,1970
6875,6995,-120
13495,12990,505
8995,9995,-1000
8995,9995,-1000
9998,9995,3
6720,6995,-275
7250,6995,255
10990,11995,-1005
6998,6995,3
9495,6995,2500
18995,20995,-2000
8940,9995,-1055
7695,6995,700
9495,9995,-500
9895,9995,-100
10995,10995,0
12096,11995,101
11350,12995,-1645
23445,21490,1955
21995,18995,3000
11690,9491,2199
6495,6995,-500
24498,23950,548
16990,15990,1000
8202,7995,207
16249,13610,2639
8995,7995,1000
10991,11490,-499
19995,22995,-3000
20498,21995,-1497
8250,7995,255
14516,15250,-734
10980,9995,985
8510,8995,-485
8495,8995,-500
12000,10995,1005
8291,9995,-1704
9998,9995,3
22990,21490,1500
7991,7995,-4
8298,6995,1303
22362,22995,-633
10499,7965,2534
6062,5995,67
15369,14995,374
16245,12995,3250
17795,17495,300
8700,8995,-295
6000,4495,1505
9799,7995,1804
9299,9995,-696
11902,11995,-93
6594,6995,-401
9995,9995,0
11950,10795,1155
7900,6995,905
20000,22995,-2995
5999,5995,4
9995,10980,-985
8998,9995,-997
7450,6995,455
6698,6995,-297
21888,21995,-107
7498,6995,503
12000,11995,5
7298,7495,-197
13500,12495,1005
18795,18995,-200
6499,6095,404
14799,21491,-6692
16995,14995,2000
21991,21995,-4
8880,9995,-1115
12721,9995,2726
13498,14995,-1497
6999,6995,4
9495,9995,-500
9902,9995,-93
11985,11490,495
7995,6995,1000
12601,11995,606
19995,21490,-1495
12995,12495,500
18495,11495,7000
20349,18995,1354
9000,9995,-995
9000,9995,-995
20000,13610,6390
16195,14995,1200
18998,21491,-2493
21490,21490,0
9995,9995,0
12840,12995,-155
6995,6995,0
7211,6995,216
10998,10995,3
7890,9995,-2105
9831,7995,1836
13675,11795,1880
17495,13998,3497
9999,9995,4
11495,11995,-500
7500,6995,505
23750,23995,-245
11000,9995,1005
11340,11995,-655
10695,10495,200
11000,10995,5
15293,13998,1295
12950,11995,955
12485,12990,-505
6700,6291,409
24995,21490,3505
6000,5995,5
19995,19500,495
10550,10995,-445
6495,6995,-500
11171,10995,176
12290,11995,295
12998,11795,1203
13995,11995,2000
12499,14995,-2496
11990,12495,-505
10950,10995,-45
9495,7995,1500
11495,11995,-500
7000,6995,5
8800,9995,-1195
11395,12990,-1595
6388,6995,-607
6895,6995,-100
9295,10995,-1700
10725,9995,730
13490,12995,495
12490,12990,-500
9850,9995,-145
21995,21490,505
16998,20995,-3997
12590,10995,1595
7950,10995,-3045
13130,11995,1135
15790,11995,3795
7888,6995,893
17999,20995,-2996
10500,11795,-1295
7698,6995,703
8188,9995,-1807
23888,21490,2398
13290,12990,300
5995,5998,-3
8995,4495,4500
7998,6995,1003
22900,22995,-95
21750,21490,260
17498,13998,3500
10495,9995,500
20365,18000,2365
11995,11795,200
12495,11995,500
8698,8995,-297
12998,13500,-502
8290,7995,295
21192,18995,2197
21999,22995,-996
8498,6995,1503
11000,9995,1005
13330,12998,332
9998,7490,2508
10495,10495,0
6095,7995,-1900
15450,17495,-2045
9985,10995,-1010
8399,6995,1404
19990,21490,-1500
7495,6995,500
19995,18995,1000
11990,11995,-5
8148,9995,-1847
8998,9995,-997
13490,12995,495
11990,11498,492
13295,12995,300
15950,13998,1952
13290,12995,295
9595,10995,-1400
8300,7495,805
7072,7995,-923
8998,9995,-997
20000,22995,-2995
9995,10495,-500
6950,6995,-45
9990,9995,-5
12750,12995,-245
7850,6995,855
10595,9995,600
16688,14995,1693
11450,11995,-545
11998,11995,3
20950,21995,-1045
19995,21490,-1495
6790,6995,-205
11451,9995,1456
10895,10995,-100
9695,10995,-1300
6495,6995,-500
8000,8995,-995
15990,13998,1992
5495,4199,1296
7300,7995,-695
7895,7995,-100
9490,9995,-505
17798,21995,-4197
11494,10995,499
6998,6498,500
17395,12995,4400
11790,12995,-1205
8995,9995,-1000
8195,7995,200
12990,12495,495
20995,20995,0
14995,9491,5504
12000,11490,510
25000,22995,2005
9494,9495,-1
16689,20995,-4306
23490,21995,1495
14295,12998,1297
8790,7995,795
11995,9995,2000
8469,9995,-1526
10998,9995,1003
20495,20995,-500
15570,14995,575
11298,10995,303
10995,8995,2000
10490,10495,-5
7998,6995,1003
9995,9995,0
9990,11995,-2005
18990,19495,-505
24995,22990,2005
10515,9995,520
8300,7995,305
12386,11995,391
6999,9995,-2996
16990,15990,1000
13999,12495,1504
13995,11995,2000
5850,6498,-648
11000,10995,5
12000,12495,-495
10750,10980,-230
20750,20995,-245
9475,8995,480
6498,6995,-497
7695,6995,700
8901,7995,906
10870,11995,-1125
6995,6995,0
8495,6995,1500
9998,13500,-3502
11295,9995,1300
10244,10995,-751
24990,22498,2492
12495,11995,500
12022,11995,27
17995,21491,-3496
9495,7495,2000
13690,15250,-1560
10495,9995,500
12000,12995,-995
12995,12995,0
10450,10995,-545
10333,11490,-1157
11675,11995,-320
9995,9995,0
14991,14995,-4
10498,9995,503
9450,9495,-45
9790,9995,-205
10998,10995,3
10195,9995,200
7762,7495,267
14690,13998,692
5273,4495,778
6995,6995,0
6990,7495,-505
11998,10995,1003
13555,12990,565
22990,18995,3995
8400,6995,1405
12201,10995,1206
19490,18995,495
8995,8995,0
12695,11795,900
15499,14995,504
10684,10995,-311
8495,6995,1500
21500,20995,505
21995,18995,3000
9325,9995,-670
17995,15885,2110
13698,13500,198
12426,11995,431
7995,7995,0
11995,11995,0
9387,10495,-1108
15595,14995,600
11895,10995,900
6190,6995,-805
5999,5995,4
18495,15990,2505
7995,6995,1000
12998,14995,-1997
8669,7995,674
10495,10995,-500
16495,12998,3497
13450,14995,-1545
9695,9995,-300
14995,17495,-2500
5600,4495,1105
11975,10995,980
8622,9995,-1373
9595,9995,-400
10795,9995,800
15911,12995,2916
9387,10995,-1608
13995,11795,2200
13000,12995,5
9291,7995,1296
6602,6995,-393
12998,12995,3
14700,12990,1710
18698,18995,-297
9995,10795,-800
8491,7995,496
15295,13998,1297
23495,22498,997
11899,9995,1904
7500,6995,505
19695,22995,-3300
12495,11995,500
13444,12990,454
23445,21490,1955
8799,10795,-1996
7899,7995,-96
18999,22995,-3996
13998,11998,2000
14400,13998,402
9695,9995,-300
11490,9995,1495
20995,18995,2000
10887,11795,-908
14995,11795,3200
21250,20995,255
12675,11795,880
9498,8995,503
9800,9995,-195
9500,10995,-1495
13998,17495,-3497
12000,12495,-495
5995,6995,-1000
12788,10995,1793
6495,6995,-500
5995,5995,0
9295,6995,2300
7250,6498,752
11995,9995,2000
6990,7995,-1005
18500,18995,-495
15998,13998,2000
12200,9995,2205
10382,9995,387
14995,12990,2005
12200,11995,205
6350,7495,-1145
12998,12995,3
8132,6995,1137
5995,6622,-627
7998,9995,-1997
12498,12995,-497
14495,14995,-500
13998,14995,-997
12999,9491,3508
8402,6995,1407
17787,21995,-4208
9250,9495,-245
12295,11795,500
11000,9495,1505
13975,11795,2180
23000,21490,1510
13810,15250,-1440
7998,8995,-997
6995,7995,-1000
9500,9995,-495
16781,12990,3791
9440,7995,1445
6385,4495,1890
7998,8995,-997
12252,11995,257
10295,12495,-2200
4495,4495,0
12695,13998,-1303
8295,8995,-700
8995,9995,-1000
11491,11995,-504
10499,7295,3204
11995,11795,200
8195,7995,200
7495,8995,-1500
10191,10995,-804
14995,12990,2005
13995,12990,1005
7500,6995,505
20970,20995,-25
10995,13500,-2505
5940,6995,-1055
10998,9995,1003
9299,8995,304
22520,21490,1030
7499,6995,504
10695,9990,705
12232,13500,-1268
8295,7495,800
18495,16995,1500
14795,14995,-200
21500,21995,-495
9436,8995,441
17628,14995,2633
4495,5998,-1503
6695,6995,-300
8985,8995,-10
9790,10995,-1205
10790,10995,-205
13995,9995,4000
18750,11160,7590
8383,6995,1388
15995,12995,3000
11495,10595,900
9500,9995,-495
9695,9995,-300
6250,7995,-1745
12750,11995,755
5698,5998,-300
24695,23490,1205
21495,21490,5
11000,9995,1005
7791,6995,796
8995,6995,2000
12195,11995,200
8498,9995,-1497
14791,12990,1801
15550,14995,555
8790,7995,795
19990,18995,995
12500,10980,1520
19991,18995,996
15250,17495,-2245
6750,6995,-245
13495,12998,497
10990,10995,-5
7295,6995,300
13490,12995,495
12180,11995,185
16490,15990,500
6995,5995,1000
6890,6995,-105
12495,9995,2500
10290,9995,295
7495,8995,-1500
11295,10995,300
9192,10995,-1803
5899,6622,-723
13570,11795,1775
11990,11995,-5
8998,9995,-997
16995,17495,-500
22790,21490,1300
11498,12495,-997
6290,6995,-705
9700,9995,-295
10995,9995,1000
12295,12995,-700
6599,5995,604
5395,4495,900
12495,9491,3004
7995,6995,1000
23400,18995,4405
9650,10495,-845
7495,5995,1500
6995,6995,0
5500,4495,1005
20550,20995,-445
9395,7995,1400
11487,10995,492
11590,11995,-405
14698,17495,-2797
14395,14995,-600
10498,9995,503
9999,9995,4
14100,14995,-895
12750,9491,3259
6995,6995,0
8592,9995,-1403
8990,9995,-1005
17498,22995,-5497
12290,11795,495
10392,10495,-103
6500,5995,505
10000,10995,-995
7691,7995,-304
7800,6995,805
12795,11995,800
14995,12995,2000
